BRAND_NAME,TYPE,NIC,TAR,CO,LEN,FLTR,PACK,STRENGTH,STYLE,OTHER
KINGSPOR,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
KINGSPOR,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
L&M,REGULAR,1,16,16,83,F,HARD,FULL FLAVOR,,FSC
L&M,REGULAR,0.9,15,14,83,F,HARD,FULL FLAVOR,,
L&M,REGULAR,0.7,11,14,83,F,HARD,LIGHT,,FSC
L&M,REGULAR,0.7,10,12,83,F,HARD,LIGHT,,OTHR-UST
L&M,REGULAR,0.7,10,12,83,F,HARD,LIGHT,,PR
L&M,REGULAR,0.7,11,13,83,F,HARD,LIGHT,,
L&M,REGULAR,0.8,13,12,83,F,HARD,REGULAR,,OTHR-UST
L&M,REGULAR,0.8,13,12,83,F,HARD,REGULAR,,PR
L&M,REGULAR,0.9,13,13,84,F,SOFT,REGULAR,,FSC
L&M,REGULAR,0.9,13,12,84,F,SOFT,REGULAR,,
L&M,REGULAR,0.9,14,16,98,F,HARD,FULL FLAVOR,,FSC
L&M,REGULAR,0.9,15,16,98,F,HARD,FULL FLAVOR,,
L&M,REGULAR,0.7,12,15,98,F,HARD,LIGHT,,FSC
L&M,REGULAR,0.7,11,14,98,F,HARD,LIGHT,,
L&M,REGULAR,0.9,13,13,99,F,SOFT,REGULAR,,
LARK,REGULAR,0.8,9,9,84,F,SOFT,LIGHT,,FSC
LARK,REGULAR,0.7,9,8,84,F,SOFT,LIGHT,,
LARK,REGULAR,1,12,12,84,F,SOFT,REGULAR,,FSC
LARK,REGULAR,0.9,12,11,84,F,SOFT,REGULAR,,
LARK,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,FSC
LARK,REGULAR,0.8,10,10,99,F,SOFT,LIGHT,,
LARK,REGULAR,1,12,14,99,F,SOFT,REGULAR,,FSC
LARK,REGULAR,1,13,12,99,F,SOFT,REGULAR,,
Legend,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Legend,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Legend,REGULAR,0.4,4,6,84,F,SOFT,ULTRA LIGHT,,
Legend,REGULAR,1.2,20,14,84,NF,SOFT,FULL FLAVOR,,
Legend,REGULAR,0.9,15,15,85,F,HARD,FULL FLAVOR,,
Legend,REGULAR,0.8,11,13,85,F,HARD,LIGHT,,
Legend,REGULAR,0.9,14,16,98,F,HARD,FULL FLAVOR,,
Legend,REGULAR,0.8,10,12,98,F,HARD,LIGHT,,
Legend,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Legend,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Legend,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
Legend,REGULAR,0.4,5,8,100,F,HARD,ULTRA LIGHT,,
LIGGETT S,REGULAR,0.9,14,17,85,F,HARD,FULL FLAVOR,.,.
LIGGETT S,REGULAR,1,14,19,85,F,HARD,FULL FLAVOR,.,.
LIGGETT S,REGULAR,0.7,10,13,85,F,HARD,LIGHT,.,.
LIGGETT S,REGULAR,0.8,10,14,85,F,HARD,LIGHT,.,.
LIGGETT S,REGULAR,0.4,5,6,85,F,HARD,ULTRA LIGHT,.,.
